StudentID,FirstName,LastName,Major,HighSchoolGPA,FamilyIncome,State,AvgDailyStudyTime,TotalAbsence
202303595,Baxter,Dengler,Computer Science,2.82,45013,WA,2.01,14
202309162,Christian,Wickey,Data Science,3.07,128358,GA,5.41,
202306337,Lonnie,Wulff,Software Engineering,2.68,112392,GA,9.57,13
202306072,Mitchell,Deshotel,Software Engineering,3.21,190846,GA,8.57,16
202301733,Linwood,Willing,Information Technology,3.44,187163,GA,6.24,20
202305362,Rocco,Dandrea,Information Technology,2.7,39186,SC,7.68,12
202306465,Guy,Mcleroy,Information Technology,3.04,265177,GA,5.6,28
202305188,Gustav,Sterk,Software Engineering,2.66,184295,FL,6.49,
202308816,Seymour,Ediger,Data Science,3.16,82071,GA,2.39,
202307074,Delbert,Dauria,Software Engineering,3.18,30401,AL,5.58,
202303678,Donnie,Riemer,Software Engineering,2.81,147583,SC,7.64,
202302442,Luke,Datta,Computer Science,2.45,112614,GA,5.59,
202302098,Eric,Mckellar,Information Technology,2.93,159592,GA,6.67,
202306309,Ted,Wisniewski,Information Technology,3.06,117836,TN,10.68,
202309206,Smith,Magnus,Data Science,3.08,81323,FL,5.98,18
202307692,Jasper,Odriscoll,Information Technology,2.25,,SC,1.91,21
202305493,Riley,Wynter,Information Technology,2.26,312856,GA,3,17
202307947,Austin,Galdamez,Computer Science,2.07,123967,GA,1.27,29
202302693,Bill,Mize,Data Science,2.7,,AL,7.91,11
202304771,Lindsey,Basquez,Computer Science,,48870,GA,6.81,23
202302601,Rube,Reppert,Computer Science,3.69,30725,SC,4.34,11
202309569,Boyd,Hetland,Computer Science,3.71,109076,FL,8.1,9
202302197,Gideon,Aderholt,Data Science,2.57,,GA,4.46,20
202308152,Mathias,Saintil,Data Science,3.94,190595,GA,9.59,11
202304260,Eva,Stickel,Software Engineering,3.61,216423,,12.27,16
202300175,Loyd,Khatib,Computer Science,2.61,29745,SC,7.04,21
202309546,Winfred,Mcpherson,Software Engineering,3.36,72123,TN,7.59,12
202307269,Wright,Debruin,Computer Science,2.62,125206,AL,7.49,18
202303814,Benjaman,Barlow,Data Science,3.22,87872,FL,7.2,8
202302200,Nat,Osbourne,Data Science,3.77,137935,GA,7.2,9
202302698,Bailey,Fairchild,Software Engineering,3.3,238072,SC,3.2,5
202307743,Byron,Roehrig,Software Engineering,2.52,85671,GA,6.76,28
202302934,Littleton,Prior,Data Science,3.06,30010,GA,9.81,14
202304490,Dee,Molloy,Data Science,3.67,199799,GA,9.66,2
202308979,Berry,Braasch,Computer Science,2.96,172349,GA,4.09,22
202302846,Judson,Wolfer,Data Science,2.74,43390,FL,3.29,22
202305183,Douglass,Nuckles,Data Science,3.06,76318,AL,5.04,23
202303156,Clifford,Soucy,Computer Science,3.04,39383,GA,11.19,14
202305757,Zack,Stotz,Computer Science,,35395,GA,7.89,13
202304740,Lawton,Rogue,Computer Science,3.27,1231530,TN,5.95,15
202305070,Arthur,Grange,Computer Science,,66606,SC,,19
202301711,Adam,Borst,Information Technology,3.02,118351,GA,6.16,21
202306248,Newman,Luker,Computer Science,3.5,159757,FL,6.76,19
202307494,Donat,Harbin,Information Technology,2.63,330793,GA,7.65,17
202304009,Abel,Leaphart,Software Engineering,3.12,102438,GA,4.5,16
202306561,Harvie,Zuccaro,Information Technology,2.88,107922,AL,7.96,24
202306709,David,Earnhart,Software Engineering,2.33,44429,GA,,26
202301425,Benjaman,Fluker,Data Science,1.88,60781,GA,5.15,34
202306770,Artie,Trusty,Software Engineering,2.71,256708,GA,6.53,25
202308941,Evans,Cottone,Software Engineering,3.25,566086,FL,2.76,24
202302729,Cloyd,Illig,Computer Science,2.75,77386,SC,1.97,11
202307555,Raymon,Hilaire,Information Technology,2.49,43262,GA,6.92,15
202305207,Louise,Mongold,Data Science,3.51,281106,TN,5.21,10
202308634,Adelbert,Waguespack,Data Science,3.32,113741,GA,,16
202308217,Bruce,Bob,Information Technology,3.13,89864,AL,6.3,20
202305521,Andy,Tidd,Computer Science,2.34,234082,SC,4.04,24
202308546,Ruben,Delvillar,Software Engineering,2.93,157342,FL,6.73,20
202307675,Randolph,Weible,Computer Science,3.45,33425,GA,9.43,20
